Date,Step,price_A,tv_A,web_A,price_B,tv_B,web_B,Total_Purchases_A,Total_Purchases_B,Total_Sales_A,Total_Sales_B
2022-01-02,52,5.0,0.0,0.0,5.0,0.0,0.0,618.0,243.0,3090000.0,1215000.0
2022-01-09,53,5.0,0.0,0.0,5.0,0.0,0.0,531.0,187.0,2655000.0,935000.0
2022-01-16,54,5.0,0.0,0.0,5.0,0.0,0.0,653.0,240.0,3265000.0,1200000.0
2022-01-23,55,5.0,0.0,0.0,5.0,0.0,0.0,521.0,207.0,2605000.0,1035000.0
2022-01-30,56,5.0,125000.0,0.0,5.0,0.0,0.0,620.0,231.0,3100000.0,1155000.0
2022-02-06,57,5.0,125000.0,0.0,5.0,0.0,0.0,1221.0,187.0,6105000.0,935000.0
2022-02-13,58,5.0,125000.0,0.0,5.0,0.0,0.0,794.0,162.0,3970000.0,810000.0
2022-02-20,59,5.0,125000.0,0.0,5.0,0.0,0.0,680.0,118.0,3400000.0,590000.0
2022-02-27,60,5.0,0.0,0.0,5.0,0.0,0.0,830.0,182.0,4150000.0,910000.0
2022-03-06,61,5.0,0.0,0.0,5.0,0.0,0.0,649.0,137.0,3245000.0,685000.0
2022-03-13,62,5.0,0.0,0.0,5.0,0.0,0.0,674.0,142.0,3370000.0,710000.0
2022-03-20,63,5.0,0.0,0.0,5.0,0.0,0.0,730.0,140.0,3650000.0,700000.0
2022-03-27,64,5.0,0.0,0.0,5.0,0.0,0.0,598.0,161.0,2990000.0,805000.0
2022-04-03,65,5.0,0.0,0.0,5.0,0.0,0.0,576.0,133.0,2880000.0,665000.0
2022-04-10,66,4.5,0.0,0.0,5.0,0.0,0.0,615.0,177.0,2767500.0,885000.0
2022-04-17,67,4.5,0.0,0.0,5.0,0.0,0.0,509.0,142.0,2290500.0,710000.0
2022-04-24,68,4.5,0.0,0.0,5.0,0.0,0.0,646.0,175.0,2907000.0,875000.0
2022-05-01,69,4.5,0.0,0.0,5.0,0.0,0.0,634.0,177.0,2853000.0,885000.0
2022-05-08,70,5.0,0.0,0.0,5.0,0.0,0.0,605.0,176.0,3025000.0,880000.0
2022-05-15,71,5.0,0.0,0.0,5.0,0.0,0.0,553.0,166.0,2765000.0,830000.0
2022-05-22,72,5.0,0.0,0.0,5.0,0.0,0.0,684.0,239.0,3420000.0,1195000.0
2022-05-29,73,5.0,0.0,0.0,5.0,0.0,0.0,538.0,161.0,2690000.0,805000.0
2022-06-05,74,5.0,0.0,0.0,5.0,0.0,0.0,559.0,207.0,2795000.0,1035000.0
2022-06-12,75,5.0,0.0,0.0,5.0,0.0,0.0,604.0,218.0,3020000.0,1090000.0
2022-06-19,76,5.0,0.0,0.0,5.0,0.0,0.0,643.0,210.0,3215000.0,1050000.0
2022-06-26,77,5.0,0.0,0.0,5.0,0.0,0.0,507.0,193.0,2535000.0,965000.0
2022-07-03,78,5.0,0.0,0.0,5.0,0.0,0.0,630.0,216.0,3150000.0,1080000.0
